year,ship_type,capacity
2020,C,20
2020,T,40
2020,B,30
2020,G,25
2020,O,50
2021,C,20
2021,T,40
2021,B,30
2021,G,25
2021,O,50
2022,C,20
2022,T,40
2022,B,30
2022,G,25
2022,O,50
2023,C,20
2023,T,40
2023,B,30
2023,G,25
2023,O,50
2024,C,20
2024,T,40
2024,B,30
2024,G,25
2024,O,50
2025,C,20
2025,T,40
2025,B,30
2025,G,25
2025,O,50
2026,C,20
2026,T,40
2026,B,30
2026,G,25
2026,O,50
2027,C,20
2027,T,40
2027,B,30
2027,G,25
2027,O,50
2028,C,20
2028,T,40
2028,B,30
2028,G,25
2028,O,50
2029,C,20
2029,T,40
2029,B,30
2029,G,25
2029,O,50
2030,C,20
2030,T,40
2030,B,30
2030,G,25
2030,O,50
2031,C,20
2031,T,40
2031,B,30
2031,G,25
2031,O,50
2032,C,20
2032,T,40
2032,B,30
2032,G,25
2032,O,50
2033,C,20
2033,T,40
2033,B,30
2033,G,25
2033,O,50
2034,C,20
2034,T,40
2034,B,30
2034,G,25
2034,O,50
2035,C,20
2035,T,40
2035,B,30
2035,G,25
2035,O,50
2036,C,20
2036,T,40
2036,B,30
2036,G,25
2036,O,50
2037,C,20
2037,T,40
2037,B,30
2037,G,25
2037,O,50
2038,C,20
2038,T,40
2038,B,30
2038,G,25
2038,O,50
2039,C,20
2039,T,40
2039,B,30
2039,G,25
2039,O,50
2040,C,20
2040,T,40
2040,B,30
2040,G,25
2040,O,50
2041,C,20
2041,T,40
2041,B,30
2041,G,25
2041,O,50
2042,C,20
2042,T,40
2042,B,30
2042,G,25
2042,O,50
2043,C,20
2043,T,40
2043,B,30
2043,G,25
2043,O,50
2044,C,20
2044,T,40
2044,B,30
2044,G,25
2044,O,50
2045,C,20
2045,T,40
2045,B,30
2045,G,25
2045,O,50
2046,C,20
2046,T,40
2046,B,30
2046,G,25
2046,O,50
2047,C,20
2047,T,40
2047,B,30
2047,G,25
2047,O,50
2048,C,20
2048,T,40
2048,B,30
2048,G,25
2048,O,50
2049,C,20
2049,T,40
2049,B,30
2049,G,25
2049,O,50
2050,C,20
2050,T,40
2050,B,30
2050,G,25
2050,O,50
